idiomatic_meaning,literal_meaning,idiomatic_sentence,literal_sentence
"Cold turkey is a metaphor for abruptly stopping a habit or addiction without gradual reduction.","Cold turkey is a literal term for a turkey served cold as a dish.","He quit smoking cold turkey and hasn’t touched a cigarette since.","The leftovers included cold turkey sandwiches from the holiday feast."
"Seal of approval is a metaphor for official endorsement or confirmation of quality or acceptability.","Seal of approval is a literal term for a physical seal used to mark documents or items as officially approved.","The product received the seal of approval from the safety commission.","The official seal of approval was stamped on the certificate."
"Best man is a metaphor for the principal male assistant to the groom at a wedding.","Best man is a literal term for the man considered the best in some context, such as a competition.","The best man gave a heartfelt speech at the wedding reception.","The best man won the race, securing the gold medal for his team."
"New blood is a metaphor for fresh energy, ideas, or people brought into a group or organization.","New blood is a literal term for newly donated blood, typically used for transfusions.","The company needed new blood to inject some creativity into the stale team.","The hospital’s blood bank received fresh donations of new blood."
"Ancient history is a metaphor for something that is outdated, irrelevant, or no longer important.","Ancient history is a literal term referring to the period of human history before recorded events.","The debate about last year’s project is now just ancient history.","The museum exhibited ancient history artifacts from long past civilizations."
"Agony aunt is a metaphor for a person, usually a columnist or advisor, who offers advice on personal problems.","Agony aunt is a literal term for a person who helps those in emotional or physical pain.","She wrote to the agony aunt for advice on how to handle her relationship issues.","The agony aunt responded to the reader’s concerns with compassion and insight."
"Open goal is a metaphor for an opportunity that is easy to seize or achieve, often in sports or business.","Open goal is a literal term in soccer or football where the net is unguarded and easy to score into.","He missed an open goal during the match, much to the crowd’s dismay.","The soccer player took advantage of the open goal to score the winning point."
"White whale is a metaphor for an elusive or unattainable goal or obsession.","White whale is a literal term for a rare, white-colored whale, especially the type sought by sailors in Moby Dick.","The project became his white whale, something he relentlessly pursued but never completed.","The fisherman set out to find the elusive white whale on the open sea."
"Bad apple is a metaphor for a person who negatively influences a group or situation.","Bad apple is a literal term for an apple that is spoiled or rotten.","She’s a bad apple who causes trouble wherever she goes.","The group found a bad apple in their midst, who spread rumors among the team."
"Guinea pig is a metaphor for someone used in an experiment or test, often without consent or full knowledge.","Guinea pig is a literal term for a small rodent often kept as a pet or used in research.","They felt like guinea pigs during the trial phase of the new software.","The guinea pig nibbled on a carrot in its cage at the pet store."
"Dead wood is a metaphor for people or things that are no longer useful or productive.","Dead wood is a literal term for wood that is dead, often dry and no longer living.","The manager decided to remove the dead wood from the team to improve efficiency.","The forest ranger cleared away the dead wood from the trail to prevent fire hazards."
"Panda car is a metaphor for a small, typically urban police car in the UK.","Panda car is a literal term for a car with markings resembling a panda, though it is nonsensical.","The officer arrived in a panda car to handle the noise complaint.","The panda car parked outside the zoo featured black-and-white decorations for the event."
"Bells and whistles is a metaphor for additional features or accessories that are added to make something more appealing or complex.","Bells and whistles is a literal term for decorative bells and other festive additions to an object or event.","The new phone has all the bells and whistles, including facial recognition and wireless charging.","The holiday display was full of bells and whistles, with lights and music everywhere."
"Swan song is a metaphor for a final act or performance before retirement or departure.","Swan song is a literal term for the final song of a swan, often a myth.","Her retirement speech was a swan song, marking the end of a long career.","The swan swam gracefully on the lake, its song heard from the shore."
"Silver bullet is a metaphor for a simple and seemingly magical solution to a complex problem.","Silver bullet is a literal term for a bullet made of silver, often associated with folklore.","There’s no silver bullet for fixing the economy; it requires multiple approaches.","The hunter carried a silver bullet, believing it could defeat the mythical creature."
