idiomatic_meaning,literal_meaning,idiomatic_sentence,literal_sentence
"Elbow grease is a metaphor for hard physical effort or industrious labor.","Elbow grease is the literal effort of using one's elbow and arm to apply pressure during cleaning or polishing.","It took a lot of elbow grease to get the old car looking like new.","I used some elbow grease to scrub the stain off the counter."
"Night owl is a metaphor for a person who tends to stay awake late at night and feels more active during that time.","Night owl is a literal term referring to an owl, a nocturnal bird that is active at night.","As a night owl, she finds it easier to work on creative projects after midnight.","The night owl swooped silently through the trees in search of prey."
"Heart of gold is a metaphor for someone who is exceptionally kind, generous, and compassionate.","Heart of gold is a literal phrase referring to a heart made of the precious metal gold.","He may seem gruff, but he has a heart of gold and is always there to help.","The artist crafted a pendant in the shape of a heart of gold for the charity auction."
"Agony aunt is a metaphor for a person, often in a column or publication, who provides advice to people facing personal problems.","Agony aunt is a literal term referring to an aunt who experiences or causes agony.","She decided to write to the magazine's agony aunt for advice about her relationship issues.","My poor agony aunt seemed distressed after hearing about the family's troubles."
"Shrinking violet is a metaphor for a shy or introverted person who avoids attention or social situations.","Shrinking violet is a literal term for a violet plant that appears small and unassuming.","She's a shrinking violet in meetings, preferring to let others take the spotlight.","The shrinking violet in the garden looked delicate compared to the surrounding roses."
"Green fingers is a metaphor for someone who has a natural talent for gardening and growing plants.","Green fingers is a literal description of fingers that turn green from handling plants or gardening materials.","With her green fingers, every plant in her garden thrives and blossoms beautifully.","After repotting the plants, his green fingers were covered in soil and leaves."
"Ancient history is a metaphor for something that is outdated, irrelevant, or no longer significant.","Ancient history is the literal study of events, cultures, and civilizations from the distant past.","The argument we had last year is ancient history now, so let's move on.","My history professor specializes in teaching ancient history, focusing on Greece and Rome."
"Banana republic is a metaphor for a politically unstable country with an economy heavily dependent on a single export, often controlled by foreign interests.","Banana republic is a literal term referring to a country that produces a significant amount of bananas.","Critics described the corrupt government as running the nation like a banana republic.","The banana republic exported thousands of tons of fruit to international markets each year."
"Devil's advocate is a metaphor for someone who argues a contrary position to provoke discussion or test an idea's validity.","Devil's advocate is a literal term referring to a person in the Catholic Church once appointed to argue against the canonization of a saint.","During the debate, she played devil's advocate to ensure all perspectives were considered.","The official acting as the devil's advocate presented counterarguments during the sainthood process."
"Private eye is a metaphor for a professional private investigator or detective who is hired to solve cases.","Private eye is a literal term referring to an eye that is private or kept hidden.","The private eye uncovered evidence that solved the mystery.","The painting featured a single private eye peeking out from behind a curtain."
"Piece of cake is a metaphor for something very easy to do.","Piece of cake is a literal term referring to a portion of a cake.","That math test was a piece of cake for her; she finished it in ten minutes.","He cut a small piece of cake to enjoy with his coffee."
"Rocket science is a metaphor for something extremely complex or difficult to understand.","Rocket science is the literal field of engineering and physics related to designing and launching rockets.","Building a basic website isn't rocket science; anyone can learn how to do it.","She studied rocket science to pursue her dream of working for NASA."
"Brass ring is a metaphor for a rare opportunity or achievement that is highly desirable.","Brass ring is a literal term referring to a ring made of brass, often used in carousel games.","He grabbed the brass ring when he got promoted to CEO.","The brass ring on the antique carousel gleamed in the sunlight."
