compound,gpt_idiomatic_image,gpt_literal_image
elbow grease,"The image depicts a person working hard to clean a dirty floor with intense effort, symbolizing the idiomatic meaning of hard physical work or effort.","The image depicts a jar labeled 'elbow grease,' humorously portraying grease made from elbows, to illustrate the literal meaning."
night owl,"The image depicts a person awake late at night, sitting at a desk with a lamp on, symbolizing someone who is most active during nighttime.","The image depicts an owl perched on a tree branch under the moonlight, highlighting the literal meaning of a nocturnal bird."
heart of gold,"The image depicts a person helping someone in need, with a glowing golden heart symbol overlayed to represent kindness and generosity.","The image depicts an anatomically accurate heart made of shiny gold, representing the literal meaning."
agony aunt,"The image depicts a columnist surrounded by letters from readers, thoughtfully responding to their personal problems, representing an advice giver.","The image depicts a literal aunt holding her head in pain, symbolizing someone in agony."
shrinking violet,"The image depicts a shy person standing in the background of a social gathering, blending into the surroundings to avoid attention.","The image depicts a small violet flower wilting or appearing to shrink, illustrating the literal meaning."
green fingers,"The image depicts a person happily gardening, surrounded by flourishing plants and flowers, symbolizing skill in gardening.","The image depicts fingers literally colored green, perhaps from touching plants or paint, to illustrate the literal meaning."
ancient history,"The image depicts a dusty, forgotten book on a shelf titled 'Ancient History,' symbolizing something outdated or irrelevant.","The image depicts ancient artifacts such as scrolls, pottery, and ruins, directly representing the study of early human history."
banana republic,"The image depicts a small, unstable country with images of bananas and corrupt leaders, symbolizing the idiomatic meaning.","The image depicts a market stall with bananas prominently displayed, illustrating the literal meaning of a banana-exporting region."
devil's advocate,"The image depicts a person arguing against popular opinion during a discussion, symbolizing the role of challenging ideas.","The image depicts a person in a suit with small devil horns, humorously playing the role of a literal devil advocate."
private eye,"The image depicts a detective in a trench coat and fedora, holding a magnifying glass and observing a clue, symbolizing the idiomatic meaning of a private investigator.","The image depicts a literal eye with a lock or curtain around it, emphasizing privacy."
pipe dream,"The image depicts a person daydreaming about unrealistic fantasies like floating castles or vast riches, symbolizing an unattainable aspiration.","The image depicts a literal pipe emitting dreamlike images, such as clouds or whimsical scenes, to illustrate the literal meaning."
piece of cake,"The image depicts a student effortlessly solving a problem or task, symbolizing something very easy to accomplish.","The image depicts a literal slice of cake on a plate, emphasizing the literal meaning of a 'piece of cake.'"
rocket science,"The image depicts a person struggling with a complex math equation on a chalkboard, symbolizing something extremely difficult to understand.","The image depicts scientists and engineers working on an actual rocket in a laboratory, representing the literal meaning."
brass ring,"The image depicts someone reaching out for an opportunity, symbolized by a golden ring in a carnival-like setting, representing the idiomatic meaning of a rare chance.","The image depicts an actual brass ring held in someone's hand, illustrating the literal meaning."
apples and oranges,"The image depicts two items, such as a laptop and a basketball, with a caption stating 'apples and oranges,' symbolizing incomparable things.","The image depicts a literal apple and an orange side by side, showcasing the straightforward comparison of the fruits."
nest egg,"The image depicts a person saving money into a piggy bank or account, symbolizing financial savings for the future.","The image depicts a literal bird's nest with an egg inside, illustrating the natural context of the term."
ghost town,"The image depicts an abandoned town with empty streets and buildings, symbolizing the idiomatic meaning of a deserted place.","The image depicts a literal town with ghosts or spectral figures wandering the streets, representing the literal meaning humorously."
bull market,"The image depicts a stock market chart with an upward trend and a confident bull, symbolizing a period of rising stock prices.","The image depicts a literal bull walking through a busy marketplace, illustrating the literal meaning."
beached whale,"The image depicts a person feeling stuck or helpless, symbolized by an exaggerated scene of being sprawled out on a beach.","The image depicts an actual whale stranded on a beach, representing the literal meaning of the term."
flower child,"The image depicts a person dressed in 1960s hippie fashion, holding flowers and spreading peace, symbolizing the counterculture movement.","The image depicts a literal child holding or surrounded by flowers, emphasizing the straightforward meaning."
copy cat,"The image depicts a student peeking at another's work during a test, symbolizing someone who imitates others.","The image depicts a literal cat copying another cat's posture or action, humorously illustrating the literal meaning."
lounge lizard,"The image depicts a person lounging on a sofa in a nightclub, dressed stylishly but lazily, symbolizing the idiomatic meaning.","The image depicts a literal lizard reclining on a small lounge chair, humorously showcasing the literal meaning."
secret santa,"The image depicts an office Christmas party where gifts are exchanged anonymously, representing the idiomatic tradition.","The image depicts a literal Santa Claus character whispering or hiding behind a Christmas tree, illustrating secrecy."
dirty word,"The image depicts a person reacting in shock to overhearing a controversial or offensive term, symbolizing the idiomatic meaning of taboo words.","The image depicts a literal word written in dirt or mud on a surface, representing the literal meaning."
close shave,"The image depicts a narrowly avoided accident, such as a car stopping just before hitting another, symbolizing a near escape.","The image depicts a person shaving their face closely with a razor, illustrating the literal meaning."
donkey work,"The image depicts an employee completing tedious and monotonous tasks at a desk, symbolizing the hard and unglamorous work in a project.","The image depicts a literal donkey carrying a heavy load of goods on its back, representing the physical labor of the animal."
bear market,"The image depicts a declining stock market chart with a bear looming over it, symbolizing the idiomatic meaning of a period of falling stock prices.","The image depicts a literal bear wandering through a dense forest, illustrating the natural animal."
top dog,"The image depicts a victorious businessperson standing at the top of a podium with others applauding below, symbolizing a leader or champion.","The image depicts a literal dog sitting on a raised platform, humorously representing the 'top' dog."
dog's dinner,"The image depicts a messy and disorganized project or event, symbolizing something poorly executed.","The image depicts a literal dog's food bowl with a mix of scattered ingredients around it, emphasizing the literal meaning."
white hat,"The image depicts a cybersecurity expert working to defend systems, symbolizing an ethical hacker.","The image depicts a literal white hat placed on a table or worn by someone, illustrating the straightforward meaning."
smoking gun,"The image depicts a crucial piece of evidence in a courtroom, symbolizing proof of guilt or responsibility.","The image depicts a literal gun with smoke rising from its barrel, illustrating the literal meaning."
old flame,"The image depicts a person nostalgically looking at a photograph of a former romantic partner, symbolizing a past relationship.","The image depicts a literal flame burning in an old-fashioned lamp, representing the straightforward meaning."
zebra crossing,"The image depicts pedestrians safely crossing a black-and-white striped crosswalk on a busy street, symbolizing the road safety feature.","The image depicts a literal zebra standing on a road crossing, humorously illustrating the term."
eye candy,"The image depicts an attractive advertisement with visually appealing elements, symbolizing something pleasing to look at.","The image depicts a literal eyeball next to colorful candy, humorously combining the literal elements of the term."
ivory tower,"The image depicts an academic or intellectual figure isolated in a high tower, symbolizing detachment from reality.","The image depicts a literal tower constructed of ivory or a white material, illustrating the literal meaning."
black sheep,"The image depicts a person standing apart from a group, symbolizing someone who is different or excluded.","The image depicts a flock of white sheep with one literal black sheep among them, emphasizing the visual contrast."
armchair critic,"The image depicts a person sitting comfortably in a chair, criticizing others' actions without involvement, symbolizing the idiomatic meaning.","The image depicts a literal armchair with a sign saying 'critic' on it, humorously representing the term."
gravy train,"The image depicts a group enjoying an easy, lucrative job with minimal effort, symbolizing a profitable situation.","The image depicts a literal train carrying boats filled with gravy, humorously illustrating the literal term."
rat race,"The image depicts a crowd of businesspeople rushing to work in a competitive city, symbolizing a hectic lifestyle.","The image depicts literal rats running in a circular track, humorously illustrating the phrase literally."
hot potato,"The image depicts people passing responsibility quickly during a meeting, symbolizing something difficult to handle.","The image depicts a literal steaming potato on a plate, emphasizing the literal meaning."
spring chicken,"The image depicts an energetic person exercising, symbolizing someone youthful or lively.","The image depicts a literal chicken hopping or walking in a grassy spring field, representing the straightforward meaning."
love triangle,"The image depicts three people in a complex romantic situation, symbolizing the idiomatic meaning.","The image depicts a literal triangle with a heart at each corner, humorously illustrating the term."
black box,"The image depicts an airplane crash investigation focusing on the recovered flight recorder, symbolizing the idiomatic meaning of a device storing critical information.","The image depicts a literal black rectangular box, illustrating the straightforward meaning."
hen party,"The image depicts a group of women celebrating a bachelorette party with laughter and drinks, symbolizing the idiomatic meaning.","The image depicts literal hens gathered in a small area, representing the term literally."
acid test,"The image depicts a startup product undergoing rigorous customer feedback to determine its success, symbolizing a crucial test.","The image depicts a literal chemical reaction with acid being tested on a material, representing the straightforward meaning."
inner circle,"The image depicts a small, exclusive group of people in a secretive meeting, symbolizing the idiomatic meaning.","The image depicts a literal diagram of concentric circles, with one labeled 'inner circle,' illustrating the term visually."
bad apple,"The image depicts a person negatively influencing a team, symbolizing someone causing trouble within a group.","The image depicts a literal rotten apple among fresh ones in a basket, representing the straightforward meaning."
honey trap,"The image depicts a spy luring a target into a compromising situation, symbolizing the idiomatic meaning of entrapment.","The image depicts a literal jar of honey set as a trap for insects, humorously representing the literal meaning."
